Open,High,Low,Close,Volume,EMA_fast,EMA_slow,RSI,ATR,ATR_pct,BOLLz,DonchianHi20,DonchianLo20,DonchianHi55,DonchianLo55,Mom,RV_Parkinson,estimated_spread_pct,price_impact,volume_impact,intrabar_momentum,volume_acceleration,volume_zscore,price_direction,volume_weighted_direction,net_buying_pressure,estimated_funding_pressure,funding_zscore,basis_proxy,basis_momentum,gap_size,volume_spike,liquidation_risk,liquidation_zscore,btc_beta,btc_correlation,btc_relative_strength,btc_outperformance,market_cap_rank,dominance_factor,volatility_20d,vol_regime,trend_strength,trend_regime,hurst_exponent,momentum_regime,drawdown,stress_regime,trend_alignment,vol_structure_score,ema_8,ema_20,ema_50,ema_200,rsi,atr,atr_pct,bb_upper,bb_lower,bb_position,symbol,target
119199.39,119500.0,119044.06,119405.21,422.22784,118738.46566587532,118232.51046670592,54.69502493959484,574.6007142857125,0.4812191312972923,1.4973222006740345,119573.53,117550.0,119573.53,116128.0,4.721791474508839,0.0030607120824537766,0.38184263483980496,0.0017251976789100087,0.9565054811065331,0.4514190463647728,0.8640637893370662,-0.08492703955259533,1.0,422.22784,945.86043,5.247927379661579,1.0557415938920087,0.1726686688581225,0.06012365621159421,0.0,0.990771313277039,0.0,-0.8731644109875291,1.0,0.7,0.0,0,10,0.1,5.821924878459741,0,28.522255639095604,2,0.2406299446356558,0,0.0,0,1.0,0.004389221459945265,119007.38703031426,118738.47359652341,118349.17980757279,118161.00235258162,54.69502493980062,574.6007142857125,0.4812191312972963,119614.62966758186,118065.06833241814,0.8648522889481317,BTC/USDT,0
119405.21,120183.96,119179.86,119733.69,888.04376,118833.24893579195,118262.23679409789,57.324834314500194,624.8721428571413,0.5218849789538234,2.040241186216552,120183.96,117550.0,120183.96,116128.0,6.7425924125598975,0.0031755995382132733,0.838611087656286,0.002747191749968187,1.8883117049581462,0.32713873120173975,1.1032335527662034,1.707861571970579,1.0,888.04376,3050.8484599999997,5.1919367853499,0.9825756981976098,0.27509687391362725,0.06671634757099698,0.0,2.033445818776132,0.0,-0.7954366761915515,1.0,0.7,0.0,0,10,0.1,5.586273600303183,0,32.60942857142688,2,0.22287647636080207,0,0.0,0,1.0,0.004389221459945265,119168.78769024475,118833.25822905605,118404.2360144917,118184.82086602208,57.32483431470337,624.8721428571413,0.5218849789538277,119738.40813120952,118085.6598687905,0.9971452813977766,BTC/USDT,1
119733.7,119914.97,119363.74,119633.96,400.32649,118909.5071323832,118289.39962985832,55.03728195513827,648.692142857141,0.542230770307307,1.6321893539966879,120183.96,117550.0,120183.96,116128.0,6.486098279978851,0.0032004393028298625,0.4607638165617822,-0.0008333624163964869,0.8513932280807933,-0.18094080510823157,-0.5492040955279052,-0.2856311664037904,-1.0,-400.32649,1895.66871,4.945337222403586,0.8536175456488894,-0.08329318172687339,0.037600668073656716,8.351868212498345e-08,0.9109614312532919,7.608229820496364e-08,0.8337817196586154,1.0,0.7,0.0,0,10,0.1,5.596458721264116,0,31.962646616544323,2,0.21009038903089597,0,-0.08329318172687339,0,1.0,0.004389221459945265,119272.15931463496,118909.51708225845,118453.11013016476,118206.65480066717,55.0372819553323,648.692142857141,0.5422307703073116,119801.41616902505,118164.25783097498,0.8977153491308059,BTC/USDT,1
119633.95,119633.96,119097.6,119282.1,303.99324,118944.99216739432,118309.05706293043,49.863950046046426,659.6664285714266,0.5530305289489547,0.6708084264492603,120183.96,117550.0,120183.96,116128.0,7.792733370116043,0.0032187228698070058,0.4496567381023645,-0.0029453881760335243,0.6578396230406848,-0.6559959728528132,-0.24063671130031883,-0.6389867120615172,-1.0,-303.99324,1074.7205099999999,4.799972481583069,0.7611391525312081,-0.2941138118306874,0.04604035172246038,8.35883056058098e-08,0.6948925556576545,5.808489130551422e-08,0.39191985800465196,1.0,0.7,0.0,0,10,0.1,5.776614709366567,0,27.02077443609246,2,0.20121241204525706,0,-0.37716201680579875,0,1.0,0.004389221459945265,119274.36835582719,118945.0018187166,118486.04008393163,118222.77586713218,49.86395004621018,659.6664285714266,0.5530305289489593,119807.35903984809,118246.61596015192,0.663455794434575,BTC/USDT,0
119282.11,119832.0,119203.2,119787.12,240.45492,119025.19481811867,118338.3256359417,56.328284579936756,678.38357142857,0.5663243021691851,1.759838849751832,120183.96,117550.0,120183.96,116128.0,8.968710212024781,0.0032852621641948,0.5249312279984717,0.004224807610415079,0.5216795507525185,0.8031329516526547,-0.2090122793520015,-0.8872081672233236,1.0,240.45492,1781.9282899999998,4.805689292402211,0.7257066067003938,0.4233828881282209,0.07343441983651232,8.383487543194922e-08,0.5530758412237236,4.636704425341139e-08,0.0894547169921737,1.0,0.7,0.0,0,10,0.1,6.003697104937516,0,29.92306015037592,2,0.17947400122325388,0,0.0,0,1.0,0.004389221459945265,119388.31316564347,119025.20487755371,118537.69665902155,118246.10800232748,56.328284580105596,678.38357142857,0.5663243021691898,119902.80420042895,118277.57679957102,0.9288196837144865,BTC/USDT,0
119787.12,119901.88,119570.41,119703.28,299.08424,119089.77435925022,118365.35443522998,70.98501937309275,592.1385714285706,0.494671968411029,1.3828666553957127,120183.96,117550.0,120183.96,116128.0,7.764832041828223,0.0032697733783440134,0.27690970539821563,-0.0007001533541633472,0.6520540101795792,-0.2529339005030419,0.24382665989949404,-0.6388708770158916,-1.0,-299.08424,1183.9382799999998,4.544271194588764,0.5810184614397571,-0.06999083039979093,0.049899229951717396,0.0,0.7032879302321439,0.0,-0.8514111144452263,1.0,0.7,0.0,0,10,0.1,5.855641480761812,0,36.56252631578935,2,0.17082939715194254,0,-0.06999083039979093,0,1.0,0.004389221459945265,119458.30579550054,119089.78442759157,118583.95110121886,118267.73430067276,70.9850193733609,592.1385714285706,0.49467196841103317,119981.84038528724,118273.26961471277,0.8369629224117041,BTC/USDT,0
119703.29,119770.84,119514.11,119514.11,113.78255,119130.18727741687,118388.10207017591,64.92361976013572,538.1885714285703,0.4503138344322405,0.8570669666324331,120183.96,117550.0,120183.96,116128.0,7.142935020458944,0.0032617457175622812,0.21481145615358382,-0.0015816578512964728,0.2607666687492621,-0.7368831067629772,-0.6195635383529403,-1.2406626303150357,-1.0,-113.78255,669.7998699999998,4.445315418314254,0.49682914080950696,-0.15803242818408503,0.04585385582863699,8.353989961479177e-08,0.27165141161074946,2.269373165617849e-08,-0.3851593280874814,1.0,0.7,0.0,0,10,0.1,5.905258777708327,0,40.95192481203167,2,0.15726146032495147,0,-0.227912650375095,0,1.0,0.004389221459945265,119470.70672983376,119130.19693433573,118620.8458140465,118286.14207899921,64.92361976038785,538.1885714285703,0.45031383443224426,120021.08287501789,118279.85712498211,0.7088413865878832,BTC/USDT,0
119514.11,119562.98,119400.0,119400.0,125.92919,119155.8837271867,118408.13965294471,55.48879317556496,490.701428571427,0.41097272074658536,0.5547014073887524,120183.96,117550.0,120183.96,116128.0,8.403470471346758,0.003249272388947661,0.13649916247905858,-0.0009552387565299635,0.29826484853733254,-0.7001472573279132,0.10675310054133957,-1.1010001278440775,-1.0,-125.92919,752.0814199999999,4.135518691409716,0.2656656863514495,-0.09547826612271715,0.035489435509368505,0.0,0.30263779341050767,0.0,-0.8048294676063845,1.0,0.7,0.0,0,10,0.1,5.917624471773465,0,44.58800751879685,2,0.15476826972275853,0,-0.3231733094509637,0,1.0,0.004389221459945265,119454.99412320403,119155.89277934747,118651.73705288334,118302.51380434108,55.48879317581578,490.701428571427,0.4109727207465888,120040.467075546,118284.97392445403,0.6351640135151735,BTC/USDT,1
119400.0,119899.99,119385.21,119829.09,228.29641,119219.99861031177,118436.27728357946,64.31375602250083,500.13714285714167,0.4173753992933915,1.4093293673088014,120183.96,117550.0,120183.96,116128.0,12.609521459598717,0.0032911149059507653,0.42959518427453536,0.003587276615458503,0.549085829390977,0.8335405415889583,0.8128950881046721,-0.6886067844112217,1.0,228.29641,762.4165499999999,3.995517127899838,0.0880673292424551,0.35937185929648674,0.046100546453545686,0.0,0.5479221180134607,0.0,-0.8048294676063845,1.0,0.7,0.0,0,10,0.1,6.100137399105646,0,55.23130075187945,2,0.14258697040380475,0,0.0,0,1.0,0.004389221459945265,119538.12654026983,119220.0075113606,118698.39560443553,118324.84572118086,64.31375602277046,500.13714285714167,0.417375399293395,120119.37180146707,118265.5891985329,0.8434110876822236,BTC/USDT,1
119829.1,120035.29,119800.0,119844.23,380.33424,119279.44921885351,118464.15753538976,64.0575942282426,483.537857142856,0.40347195450532075,1.318877453969162,120183.96,117550.0,120183.96,116128.0,14.178081825529159,0.0032733844322085895,0.19632985250937288,0.00012625518258615215,0.9325994272305105,0.06430362531312939,0.6659668016680595,-0.10151343650371797,1.0,380.33424,916.24146,3.641976316740398,-0.3285667604647079,0.012634661583432738,0.031407378570200616,8.345219019282569e-08,0.90512897494793,7.5534995366392e-08,0.966773814069471,1.0,0.7,0.0,0,10,0.1,6.099315857747296,0,66.14021052631175,2,0.1325003944499691,0,0.0,0,1.0,0.004389221459945265,119606.14953132102,119279.45786866863,118743.78626627116,118346.96892553395,64.0575942285131,483.537857142856,0.40347195450532414,120191.19546477342,118248.81853522654,0.8213706827467477,BTC/USDT,1
